CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,Gender,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,DEFAULT
< 0,7,Delay in paying,Radio/television,5369,500 - 1000,< 1,4,Male,No,3,Car or other,41,No,Rent,2,Skilled,1,0,1,1
< 0,9,All paid,Repairs,5944,> 1000,< 1,2,Female,Co-applicant,1,Savings agreement/life insurance,19,Bank,For free,4,Unskilled,1,1,0,1
0 - 200,54,No credits/all paid,Others,4414,< 100,> 7,3,Male,No,3,Unknown/None,30,Bank,Own,3,Highly skilled,2,0,0,1
> 200,65,All paid,Domestic appliances,5289,> 1000,Unemployed,4,Female,Guarantor,2,Car or other,71,Stores,Rent,1,Unskilled,1,0,1,1
> 200,60,Existing paid,Car (used),14881,< 100,> 7,4,Male,No,1,Real estate,32,Bank,Own,1,Unemployed,2,0,1,1
0 - 200,69,Delay in paying,Repairs,10692,> 1000,4 - 7,1,Male,Co-applicant,3,Unknown/None,22,Bank,Rent,1,Unskilled,1,0,1,1
> 200,11,All paid,Furniture/equipment,8502,100 - 500,Unemployed,4,Male,Guarantor,4,Unknown/None,20,Bank,Own,3,Unskilled,2,1,1,1
> 200,29,No credits/all paid,Vacation,17971,100 - 500,4 - 7,3,Female,Guarantor,1,Savings agreement/life insurance,54,Bank,Own,4,Unskilled,2,1,1,0
< 0,54,All paid,Car (used),17818,Unknown/None,Unemployed,1,Male,Guarantor,2,Unknown/None,54,Stores,Own,1,Unskilled,1,0,1,1
> 200,48,Critical account,Car (new),1801,> 1000,> 7,2,Female,Guarantor,2,Real estate,54,Stores,Rent,3,Unskilled,1,0,0,1
> 200,47,No credits/all paid,Retraining,12875,500 - 1000,< 1,2,Male,No,4,Savings agreement/life insurance,20,Bank,For free,2,Unemployed,2,1,0,1
0 - 200,8,Existing paid,Furniture/equipment,1879,Unknown/None,1 - 4,3,Female,Co-applicant,4,Unknown/None,52,Bank,For free,4,Unemployed,2,0,0,0
0 - 200,29,Delay in paying,Others,1611,100 - 500,< 1,3,Female,Guarantor,1,Savings agreement/life insurance,69,Stores,For free,3,Unskilled,1,1,1,0
No,71,All paid,Car (new),4620,> 1000,> 7,1,Male,Guarantor,1,Unknown/None,40,Stores,Own,4,Unskilled,2,0,1,0
< 0,22,No credits/all paid,Education,5533,Unknown/None,Unemployed,1,Female,Co-applicant,2,Car or other,45,Bank,Rent,2,Highly skilled,2,1,1,1
> 200,23,Critical account,Business,7860,> 1000,< 1,3,Female,No,4,Car or other,47,No,Own,3,Unemployed,2,0,0,1
> 200,15,No credits/all paid,Domestic appliances,10808,100 - 500,> 7,3,Female,Guarantor,1,Real estate,35,Stores,Rent,4,Skilled,2,1,1,1
No,50,Critical account,Domestic appliances,15174,Unknown/None,4 - 7,2,Female,No,2,Car or other,69,Stores,Own,3,Unemployed,2,1,0,0
> 200,4,Existing paid,Car (new),15089,100 - 500,1 - 4,2,Male,No,4,Car or other,53,Stores,Rent,1,Skilled,2,1,1,1
< 0,17,Delay in paying,Retraining,12199,< 100,< 1,2,Male,No,2,Car or other,50,Bank,Rent,4,Highly skilled,1,0,1,1
No,67,Existing paid,Education,10876,100 - 500,Unemployed,3,Male,No,3,Unknown/None,43,Bank,Rent,3,Unskilled,1,1,1,1
< 0,41,All paid,Vacation,2243,> 1000,4 - 7,4,Female,Guarantor,4,Unknown/None,65,Stores,Own,1,Highly skilled,1,1,0,1
No,40,No credits/all paid,Retraining,1119,500 - 1000,> 7,3,Female,Guarantor,1,Savings agreement/life insurance,57,Bank,For free,2,Unskilled,1,0,1,1
No,14,Critical account,Repairs,1264,100 - 500,1 - 4,3,Male,No,1,Unknown/None,34,Bank,Own,4,Unemployed,2,0,0,0
0 - 200,6,Critical account,Domestic appliances,10353,500 - 1000,Unemployed,2,Male,No,3,Car or other,57,Stores,Own,4,Unskilled,1,0,1,1
< 0,36,No credits/all paid,Repairs,17236,< 100,> 7,3,Female,Co-applicant,4,Unknown/None,24,Bank,Rent,2,Skilled,2,0,1,1
> 200,9,No credits/all paid,Others,12263,Unknown/None,> 7,1,Male,Co-applicant,2,Real estate,74,No,Rent,1,Skilled,2,1,1,1
> 200,53,All paid,Car (used),940,Unknown/None,< 1,3,Male,Co-applicant,1,Savings agreement/life insurance,25,Bank,For free,2,Highly skilled,1,0,1,1
< 0,13,Existing paid,Radio/television,17123,500 - 1000,< 1,3,Female,Guarantor,3,Savings agreement/life insurance,70,Bank,For free,4,Unemployed,1,0,0,1
> 200,8,Critical account,Furniture/equipment,10998,Unknown/None,Unemployed,3,Male,Co-applicant,3,Unknown/None,73,Stores,Rent,3,Skilled,2,0,1,0
> 200,26,All paid,Education,8274,100 - 500,> 7,3,Female,Guarantor,4,Car or other,48,Stores,For free,1,Highly skilled,1,0,0,1
< 0,13,Existing paid,Retraining,16928,500 - 1000,< 1,4,Male,Guarantor,4,Savings agreement/life insurance,29,No,For free,1,Unemployed,1,0,1,0
No,47,All paid,Domestic appliances,5738,> 1000,1 - 4,3,Female,Guarantor,1,Real estate,65,Bank,Rent,1,Unemployed,2,0,1,1
< 0,5,Critical account,Repairs,11285,100 - 500,1 - 4,1,Female,Guarantor,3,Real estate,48,No,Own,2,Highly skilled,2,0,1,1
No,16,No credits/all paid,Business,13105,100 - 500,> 7,1,Female,Co-applicant,2,Savings agreement/life insurance,61,No,For free,2,Skilled,2,1,0,1
> 200,43,No credits/all paid,Car (used),3067,100 - 500,< 1,3,Female,No,3,Car or other,36,Stores,Rent,3,Skilled,2,1,1,1
> 200,5,Existing paid,Furniture/equipment,4708,> 1000,Unemployed,2,Female,No,2,Car or other,27,Bank,For free,3,Highly skilled,2,1,0,0
> 200,68,Delay in paying,Furniture/equipment,5557,< 100,Unemployed,4,Male,No,2,Unknown/None,56,Stores,For free,1,Skilled,2,1,0,1
0 - 200,66,Existing paid,Retraining,9183,Unknown/None,Unemployed,3,Male,Co-applicant,1,Unknown/None,29,No,Rent,3,Highly skilled,1,1,1,1
No,20,Delay in paying,Education,17313,500 - 1000,1 - 4,3,Male,No,3,Savings agreement/life insurance,37,No,For free,2,Skilled,1,0,0,0
0 - 200,12,All paid,Vacation,10909,< 100,< 1,3,Female,Co-applicant,2,Unknown/None,54,Stores,For free,3,Skilled,1,0,1,0
0 - 200,18,All paid,Others,5988,500 - 1000,< 1,2,Male,Co-applicant,4,Unknown/None,65,Stores,For free,2,Highly skilled,2,0,0,1
< 0,27,Critical account,Business,5918,Unknown/None,1 - 4,2,Female,Co-applicant,2,Unknown/None,58,Stores,Own,3,Highly skilled,2,0,0,1
0 - 200,41,Delay in paying,Others,14677,> 1000,Unemployed,2,Female,No,4,Real estate,24,Stores,Own,4,Skilled,1,1,0,0
< 0,38,Critical account,Retraining,7947,100 - 500,Unemployed,4,Male,No,4,Unknown/None,69,Stores,For free,2,Highly skilled,1,1,0,0
< 0,52,No credits/all paid,Repairs,16696,100 - 500,> 7,1,Female,No,3,Savings agreement/life insurance,71,No,Rent,4,Skilled,1,0,1,1
0 - 200,65,Delay in paying,Radio/television,8079,> 1000,4 - 7,4,Male,Guarantor,4,Car or other,31,Stores,For free,2,Unskilled,2,0,0,1
No,63,Existing paid,Car (new),11001,< 100,< 1,2,Female,Co-applicant,2,Unknown/None,28,Bank,For free,3,Unemployed,1,1,1,1
No,53,No credits/all paid,Vacation,13700,< 100,< 1,1,Female,Guarantor,4,Car or other,24,No,Own,4,Unemployed,1,1,0,1
No,12,No credits/all paid,Education,7602,500 - 1000,< 1,1,Male,Co-applicant,3,Unknown/None,46,No,Own,3,Skilled,1,1,1,0
No,37,Existing paid,Car (used),13766,> 1000,4 - 7,2,Female,No,1,Savings agreement/life insurance,27,Bank,Own,2,Unemployed,2,0,1,0
No,38,No credits/all paid,Vacation,8576,< 100,> 7,2,Male,Co-applicant,2,Real estate,46,Bank,For free,4,Skilled,1,0,0,1
0 - 200,4,Delay in paying,Domestic appliances,3894,> 1000,4 - 7,4,Female,Co-applicant,2,Savings agreement/life insurance,26,No,For free,1,Highly skilled,1,1,0,0
0 - 200,43,Critical account,Education,8253,Unknown/None,Unemployed,2,Male,Guarantor,3,Real estate,53,Stores,Rent,3,Unskilled,2,1,1,1
> 200,67,No credits/all paid,Radio/television,3528,100 - 500,Unemployed,1,Female,Co-applicant,3,Unknown/None,65,No,For free,2,Unemployed,2,0,0,1
No,25,Delay in paying,Domestic appliances,7546,100 - 500,< 1,3,Male,No,3,Unknown/None,27,No,For free,4,Unemployed,2,0,0,0
0 - 200,63,All paid,Vacation,3324,100 - 500,1 - 4,2,Male,Co-applicant,3,Real estate,36,Bank,Own,3,Highly skilled,2,0,0,1
> 200,67,Delay in paying,Car (new),13511,> 1000,< 1,2,Female,Co-applicant,2,Savings agreement/life insurance,73,No,Own,4,Unskilled,2,0,0,1
No,14,Critical account,Car (new),11423,> 1000,1 - 4,4,Male,Co-applicant,1,Savings agreement/life insurance,48,Stores,Own,3,Unskilled,1,1,0,1
< 0,17,Delay in paying,Radio/television,8562,500 - 1000,4 - 7,4,Female,Guarantor,4,Real estate,34,Bank,Own,3,Unskilled,1,1,0,1
> 200,63,Existing paid,Furniture/equipment,1887,100 - 500,Unemployed,2,Female,Co-applicant,4,Unknown/None,26,No,Own,3,Highly skilled,2,1,0,1
0 - 200,33,Critical account,Business,13902,500 - 1000,1 - 4,1,Male,Co-applicant,1,Real estate,62,No,Rent,4,Unemployed,2,0,0,1
< 0,38,All paid,Car (used),5353,100 - 500,4 - 7,1,Male,Guarantor,1,Unknown/None,50,Stores,Rent,4,Unemployed,2,0,0,1
< 0,40,Existing paid,Furniture/equipment,17278,500 - 1000,Unemployed,3,Male,Guarantor,1,Real estate,51,No,Rent,3,Unskilled,2,0,1,1
< 0,8,Delay in paying,Others,2282,500 - 1000,1 - 4,2,Male,Guarantor,3,Unknown/None,62,No,Own,1,Highly skilled,1,1,0,1
> 200,29,Critical account,Others,3011,Unknown/None,< 1,4,Male,Guarantor,2,Real estate,41,No,Own,1,Highly skilled,1,1,0,0
0 - 200,65,All paid,Others,15445,500 - 1000,< 1,1,Female,No,2,Car or other,26,No,Own,1,Highly skilled,2,1,0,1
< 0,7,Existing paid,Car (new),16875,> 1000,< 1,3,Male,No,2,Unknown/None,24,Stores,Rent,2,Unskilled,2,0,0,0
No,45,All paid,Car (new),2918,500 - 1000,4 - 7,2,Female,Co-applicant,3,Savings agreement/life insurance,33,No,Own,1,Highly skilled,2,0,0,1
< 0,21,Delay in paying,Repairs,14888,100 - 500,< 1,1,Male,No,2,Real estate,36,No,Rent,4,Unskilled,2,1,1,1
< 0,43,All paid,Domestic appliances,16204,500 - 1000,> 7,2,Male,Co-applicant,3,Savings agreement/life insurance,56,No,Own,1,Unskilled,1,0,1,0
> 200,42,No credits/all paid,Vacation,17436,< 100,Unemployed,2,Male,No,2,Real estate,23,Bank,For free,4,Unskilled,2,1,0,1
> 200,17,Existing paid,Car (used),12606,100 - 500,4 - 7,1,Female,Guarantor,1,Savings agreement/life insurance,67,Stores,Rent,2,Skilled,2,1,1,1
0 - 200,35,All paid,Radio/television,445,< 100,< 1,1,Male,Guarantor,4,Savings agreement/life insurance,68,Bank,For free,4,Unskilled,1,1,0,1
No,54,Delay in paying,Vacation,2437,100 - 500,Unemployed,1,Female,No,4,Real estate,28,Bank,Rent,4,Highly skilled,2,1,0,0
> 200,41,Delay in paying,Repairs,11957,> 1000,1 - 4,2,Female,No,3,Real estate,29,Stores,Own,4,Skilled,1,0,1,1
< 0,26,All paid,Car (new),2580,> 1000,< 1,2,Female,Co-applicant,2,Savings agreement/life insurance,59,Bank,Own,1,Unemployed,2,0,1,1
0 - 200,66,Delay in paying,Radio/television,3856,> 1000,Unemployed,3,Male,Co-applicant,4,Savings agreement/life insurance,30,Bank,For free,3,Unemployed,2,0,1,1
< 0,18,Critical account,Car (new),310,< 100,> 7,4,Female,Co-applicant,1,Savings agreement/life insurance,29,Bank,Own,4,Highly skilled,1,0,1,1
< 0,28,Critical account,Car (used),14637,Unknown/None,1 - 4,2,Male,Guarantor,1,Unknown/None,38,Stores,Rent,1,Highly skilled,2,0,1,1
> 200,20,Critical account,Domestic appliances,4177,100 - 500,> 7,4,Female,Guarantor,1,Unknown/None,27,No,Own,1,Highly skilled,1,0,0,0
0 - 200,69,No credits/all paid,Vacation,6546,> 1000,Unemployed,1,Male,Guarantor,3,Car or other,37,Stores,Own,1,Highly skilled,1,1,0,1
No,56,All paid,Vacation,13872,100 - 500,> 7,2,Female,Guarantor,3,Unknown/None,67,Stores,Rent,3,Skilled,1,0,0,1
No,54,No credits/all paid,Others,14375,< 100,Unemployed,3,Male,Co-applicant,2,Unknown/None,53,Stores,For free,3,Highly skilled,2,0,1,1
> 200,42,Delay in paying,Furniture/equipment,2841,Unknown/None,Unemployed,3,Male,Guarantor,1,Real estate,45,Bank,For free,3,Unskilled,2,0,0,1
> 200,54,No credits/all paid,Others,12377,< 100,> 7,4,Male,Guarantor,2,Car or other,41,No,Own,3,Unemployed,1,1,1,1
0 - 200,9,Delay in paying,Radio/television,15998,100 - 500,Unemployed,1,Female,Guarantor,2,Car or other,22,Stores,Rent,2,Highly skilled,2,0,0,1
No,70,Delay in paying,Business,6371,Unknown/None,< 1,4,Female,Guarantor,1,Unknown/None,54,Stores,For free,3,Unskilled,2,1,1,1
No,10,Existing paid,Others,1450,Unknown/None,Unemployed,1,Male,No,2,Real estate,29,No,For free,3,Highly skilled,2,0,1,1
No,54,Critical account,Repairs,15971,< 100,4 - 7,3,Female,Co-applicant,4,Real estate,52,No,Own,3,Unskilled,1,0,0,1
< 0,45,Delay in paying,Others,11337,> 1000,Unemployed,4,Female,Co-applicant,3,Car or other,57,No,Rent,4,Skilled,1,0,0,1
No,67,Existing paid,Others,7222,100 - 500,4 - 7,3,Female,Guarantor,2,Real estate,71,Bank,For free,4,Unemployed,2,1,0,1
< 0,18,Critical account,Business,386,500 - 1000,Unemployed,3,Female,No,1,Savings agreement/life insurance,19,No,Own,3,Unemployed,1,1,0,0
0 - 200,32,Delay in paying,Furniture/equipment,17663,500 - 1000,Unemployed,1,Female,Co-applicant,3,Unknown/None,67,Bank,Own,2,Skilled,2,0,1,0
< 0,36,Delay in paying,Car (used),15596,< 100,> 7,4,Female,Co-applicant,3,Savings agreement/life insurance,58,Stores,Own,4,Unskilled,2,0,0,1
0 - 200,30,No credits/all paid,Repairs,911,100 - 500,< 1,4,Female,Guarantor,2,Car or other,62,Bank,Own,1,Highly skilled,2,0,1,1
No,39,No credits/all paid,Others,2722,100 - 500,< 1,3,Male,Guarantor,4,Car or other,56,No,For free,4,Unskilled,1,1,0,0
No,32,Critical account,Domestic appliances,336,< 100,1 - 4,3,Male,Co-applicant,2,Real estate,59,Bank,Rent,1,Unemployed,1,1,0,0
0 - 200,41,Delay in paying,Business,10954,100 - 500,> 7,1,Female,Co-applicant,4,Real estate,26,No,Own,4,Skilled,2,0,0,1
> 200,60,All paid,Domestic appliances,6469,> 1000,> 7,2,Male,No,3,Car or other,39,Bank,Own,3,Skilled,1,1,0,1
0 - 200,30,No credits/all paid,Business,16572,< 100,< 1,2,Male,Co-applicant,2,Car or other,64,Stores,For free,4,Unskilled,2,1,0,0
> 200,58,Critical account,Domestic appliances,14999,> 1000,> 7,3,Male,Co-applicant,1,Savings agreement/life insurance,22,Bank,Own,3,Unskilled,1,1,1,0
< 0,36,Delay in paying,Business,7218,100 - 500,< 1,2,Female,Guarantor,2,Savings agreement/life insurance,29,Stores,Own,3,Skilled,1,1,0,1
< 0,71,Delay in paying,Domestic appliances,13846,< 100,> 7,2,Female,Co-applicant,4,Real estate,18,No,Rent,4,Unemployed,1,0,1,1
< 0,69,All paid,Furniture/equipment,1950,100 - 500,Unemployed,2,Female,Guarantor,4,Savings agreement/life insurance,61,Stores,Own,1,Highly skilled,2,0,0,1
No,13,Critical account,Education,2950,< 100,< 1,2,Female,Co-applicant,2,Real estate,39,No,For free,1,Highly skilled,2,1,1,0
< 0,8,Delay in paying,Repairs,12071,100 - 500,< 1,3,Female,Co-applicant,4,Real estate,55,No,Rent,4,Unskilled,2,1,0,1
> 200,41,No credits/all paid,Radio/television,5770,> 1000,4 - 7,2,Male,Co-applicant,3,Unknown/None,68,Stores,For free,3,Skilled,1,1,0,1
< 0,16,All paid,Car (used),11760,> 1000,> 7,2,Female,No,2,Real estate,36,Stores,Rent,1,Skilled,2,0,0,1
0 - 200,34,Critical account,Retraining,3937,100 - 500,> 7,1,Male,Guarantor,4,Savings agreement/life insurance,33,Bank,Rent,2,Skilled,2,0,1,1
0 - 200,50,All paid,Car (new),17230,< 100,< 1,3,Female,No,2,Car or other,48,Bank,Own,3,Unemployed,2,1,1,1
No,55,No credits/all paid,Others,9087,500 - 1000,Unemployed,4,Male,Co-applicant,2,Car or other,68,Stores,Own,4,Unskilled,2,1,0,1
0 - 200,59,Critical account,Radio/television,15205,> 1000,Unemployed,4,Female,No,1,Savings agreement/life insurance,20,Stores,Own,3,Unskilled,1,1,0,1
> 200,18,All paid,Car (new),11531,> 1000,Unemployed,1,Female,Guarantor,2,Car or other,40,Stores,For free,2,Unskilled,1,1,0,0
< 0,32,Existing paid,Repairs,14167,500 - 1000,> 7,1,Female,Co-applicant,1,Real estate,59,Stores,Own,2,Unemployed,2,0,1,1
No,11,No credits/all paid,Radio/television,5007,100 - 500,4 - 7,3,Female,No,4,Car or other,35,No,Own,1,Unskilled,1,0,0,1
< 0,8,No credits/all paid,Domestic appliances,13295,< 100,< 1,4,Female,No,1,Savings agreement/life insurance,43,Stores,Rent,2,Highly skilled,1,0,1,1
< 0,32,No credits/all paid,Domestic appliances,9162,100 - 500,1 - 4,2,Female,Guarantor,1,Car or other,30,Stores,Own,3,Unskilled,1,0,0,1
> 200,50,Existing paid,Retraining,4983,Unknown/None,4 - 7,1,Male,No,1,Real estate,35,Stores,Own,1,Unskilled,1,0,1,1
0 - 200,71,Existing paid,Car (new),7331,> 1000,1 - 4,4,Female,Guarantor,3,Real estate,20,Stores,Own,2,Unskilled,1,0,1,1
0 - 200,48,Delay in paying,Car (used),8940,Unknown/None,4 - 7,3,Male,Co-applicant,1,Savings agreement/life insurance,40,No,Own,1,Unemployed,2,1,1,1
< 0,5,All paid,Repairs,1923,> 1000,Unemployed,2,Female,Co-applicant,2,Savings agreement/life insurance,20,Bank,Rent,1,Highly skilled,1,1,0,1
No,30,Delay in paying,Domestic appliances,14568,> 1000,> 7,3,Male,No,1,Savings agreement/life insurance,72,Bank,Own,4,Highly skilled,2,0,1,0
0 - 200,39,All paid,Others,11421,Unknown/None,1 - 4,1,Male,Co-applicant,2,Unknown/None,42,Bank,Rent,1,Skilled,2,0,0,1
No,39,Existing paid,Education,13795,Unknown/None,4 - 7,4,Male,Co-applicant,1,Unknown/None,44,Bank,For free,1,Skilled,2,0,1,1
0 - 200,29,Existing paid,Furniture/equipment,12053,100 - 500,> 7,4,Male,No,3,Real estate,61,Bank,Own,2,Highly skilled,1,1,0,1
No,46,Delay in paying,Furniture/equipment,2544,Unknown/None,1 - 4,4,Male,Co-applicant,4,Unknown/None,44,No,Own,3,Unskilled,1,1,1,1
> 200,30,Critical account,Business,3880,100 - 500,< 1,4,Male,No,1,Unknown/None,69,Bank,Own,3,Unskilled,1,1,1,1
No,23,Delay in paying,Car (used),15343,100 - 500,4 - 7,2,Female,Guarantor,1,Car or other,56,No,Rent,2,Unskilled,1,1,0,0
> 200,14,All paid,Furniture/equipment,16780,100 - 500,< 1,2,Male,Guarantor,3,Unknown/None,42,No,Own,3,Unemployed,2,0,0,1
> 200,41,Delay in paying,Business,14703,> 1000,Unemployed,3,Female,Guarantor,1,Car or other,41,Bank,Own,1,Unskilled,2,1,1,1
No,9,No credits/all paid,Car (new),12424,> 1000,< 1,2,Female,No,2,Savings agreement/life insurance,25,Bank,For free,4,Unemployed,2,0,1,0
> 200,26,All paid,Domestic appliances,3703,Unknown/None,< 1,1,Male,No,1,Car or other,26,Bank,Rent,1,Highly skilled,1,1,0,1
< 0,50,All paid,Domestic appliances,4757,> 1000,4 - 7,1,Male,Co-applicant,1,Car or other,63,Stores,Rent,1,Unskilled,2,1,1,1
> 200,49,Critical account,Others,10852,Unknown/None,Unemployed,4,Female,Co-applicant,4,Savings agreement/life insurance,54,No,For free,4,Unskilled,2,1,1,1
0 - 200,15,Existing paid,Education,5878,> 1000,< 1,1,Male,Co-applicant,4,Savings agreement/life insurance,47,Bank,Rent,2,Skilled,2,1,0,0
No,16,All paid,Radio/television,8578,< 100,> 7,3,Male,Co-applicant,1,Real estate,70,Stores,Own,1,Highly skilled,1,0,0,0
< 0,65,Existing paid,Furniture/equipment,15784,< 100,1 - 4,2,Male,Co-applicant,3,Real estate,36,No,Own,1,Unskilled,2,0,0,1
No,63,Delay in paying,Car (new),3802,Unknown/None,< 1,2,Male,No,4,Real estate,70,Stores,For free,2,Unemployed,2,0,1,1
0 - 200,46,No credits/all paid,Vacation,16652,> 1000,Unemployed,2,Male,No,1,Real estate,33,Stores,Rent,1,Highly skilled,1,0,1,1
0 - 200,71,Critical account,Furniture/equipment,2492,> 1000,< 1,1,Male,Guarantor,4,Car or other,41,Bank,Rent,1,Skilled,2,0,1,1
0 - 200,8,Existing paid,Car (used),14915,100 - 500,1 - 4,2,Male,Guarantor,1,Car or other,61,No,Rent,3,Highly skilled,1,0,0,1
> 200,40,All paid,Others,5347,500 - 1000,Unemployed,4,Female,Guarantor,4,Real estate,38,Stores,For free,2,Unemployed,2,0,1,1
> 200,34,Existing paid,Radio/television,8890,Unknown/None,4 - 7,4,Male,Guarantor,4,Unknown/None,53,No,Own,1,Skilled,1,1,0,1
No,12,All paid,Furniture/equipment,2198,500 - 1000,Unemployed,4,Female,No,2,Real estate,57,Bank,For free,1,Unemployed,1,0,0,0
No,54,Existing paid,Car (new),5868,500 - 1000,4 - 7,1,Female,No,1,Unknown/None,56,No,Own,4,Highly skilled,1,1,1,0
< 0,32,All paid,Furniture/equipment,4486,Unknown/None,Unemployed,2,Female,No,1,Savings agreement/life insurance,64,Stores,For free,4,Skilled,2,0,0,1
< 0,43,Delay in paying,Car (used),2170,> 1000,1 - 4,1,Female,Co-applicant,1,Car or other,23,Stores,Own,4,Unemployed,2,1,1,1
No,44,All paid,Vacation,11419,Unknown/None,1 - 4,2,Male,Co-applicant,1,Car or other,22,No,Rent,1,Highly skilled,1,0,0,1
> 200,14,All paid,Repairs,4438,500 - 1000,Unemployed,3,Female,Guarantor,4,Unknown/None,31,Stores,Rent,1,Unemployed,1,1,0,1
0 - 200,26,No credits/all paid,Retraining,12457,> 1000,< 1,3,Female,Co-applicant,2,Real estate,70,Stores,Rent,4,Unskilled,1,0,0,1
No,4,All paid,Vacation,488,< 100,1 - 4,1,Female,No,2,Car or other,62,Stores,For free,3,Highly skilled,1,0,1,1
< 0,49,No credits/all paid,Business,454,Unknown/None,4 - 7,4,Female,Guarantor,3,Unknown/None,59,Bank,For free,3,Skilled,1,0,0,1
> 200,24,Critical account,Furniture/equipment,11049,Unknown/None,4 - 7,1,Female,Guarantor,1,Savings agreement/life insurance,67,Bank,For free,3,Skilled,1,0,1,1
No,39,No credits/all paid,Domestic appliances,5802,> 1000,> 7,4,Male,Co-applicant,3,Savings agreement/life insurance,21,Stores,Rent,3,Unskilled,1,1,0,0
No,57,Delay in paying,Education,5177,< 100,4 - 7,2,Male,Guarantor,4,Car or other,25,No,Own,2,Unemployed,1,0,0,1
> 200,60,No credits/all paid,Domestic appliances,11414,< 100,> 7,4,Female,Co-applicant,3,Real estate,41,Bank,Rent,4,Unemployed,1,0,0,1
No,4,Critical account,Vacation,4640,> 1000,Unemployed,4,Male,Co-applicant,1,Unknown/None,28,No,Rent,1,Skilled,1,1,1,0
> 200,66,Delay in paying,Domestic appliances,15891,100 - 500,Unemployed,2,Male,Guarantor,2,Car or other,34,Stores,Own,4,Unemployed,1,0,1,1
0 - 200,57,Existing paid,Car (new),6410,Unknown/None,Unemployed,3,Female,Co-applicant,2,Savings agreement/life insurance,67,Stores,Own,3,Highly skilled,1,1,1,1
> 200,58,Existing paid,Domestic appliances,16060,Unknown/None,< 1,2,Female,Co-applicant,1,Real estate,38,No,Own,1,Highly skilled,2,1,1,1
> 200,43,No credits/all paid,Radio/television,5376,500 - 1000,< 1,1,Female,Co-applicant,4,Unknown/None,74,Bank,Own,2,Skilled,1,0,1,1
> 200,18,No credits/all paid,Repairs,1066,> 1000,> 7,1,Male,Co-applicant,1,Car or other,43,No,Rent,4,Highly skilled,2,0,0,0
No,24,Critical account,Furniture/equipment,13664,500 - 1000,4 - 7,1,Female,Guarantor,4,Unknown/None,60,No,For free,1,Skilled,2,1,0,1
No,50,Critical account,Others,442,500 - 1000,4 - 7,1,Male,No,2,Real estate,65,Stores,Rent,1,Unemployed,2,0,1,1
> 200,56,All paid,Domestic appliances,3895,< 100,Unemployed,1,Male,No,4,Real estate,61,Bank,Own,3,Unemployed,1,1,1,1
No,12,Critical account,Car (used),13066,Unknown/None,1 - 4,3,Male,Co-applicant,1,Savings agreement/life insurance,62,No,For free,3,Unemployed,2,0,1,1
< 0,55,All paid,Others,6564,500 - 1000,< 1,3,Female,Co-applicant,1,Real estate,44,Bank,For free,4,Unskilled,1,0,1,1
< 0,60,Delay in paying,Repairs,7624,< 100,< 1,4,Male,Co-applicant,1,Car or other,33,Stores,Rent,2,Skilled,2,1,0,1
No,29,No credits/all paid,Repairs,3950,> 1000,Unemployed,1,Female,No,4,Unknown/None,72,Bank,Rent,1,Highly skilled,1,0,1,1
No,44,Delay in paying,Domestic appliances,10905,500 - 1000,< 1,2,Female,Co-applicant,4,Real estate,43,Stores,Rent,3,Unemployed,1,0,1,0
> 200,38,Critical account,Repairs,15379,Unknown/None,Unemployed,1,Female,Guarantor,4,Real estate,70,Bank,For free,4,Unskilled,2,0,1,1
0 - 200,66,Delay in paying,Others,9609,500 - 1000,> 7,3,Female,Guarantor,2,Car or other,50,No,For free,3,Highly skilled,2,1,1,1
No,28,Delay in paying,Education,4143,> 1000,4 - 7,1,Female,Guarantor,3,Unknown/None,48,Stores,For free,4,Highly skilled,1,0,0,1
< 0,41,Delay in paying,Domestic appliances,7061,500 - 1000,1 - 4,3,Male,No,3,Unknown/None,65,No,Own,3,Highly skilled,2,1,0,1
> 200,5,Critical account,Car (new),9538,Unknown/None,4 - 7,4,Male,Co-applicant,1,Savings agreement/life insurance,64,Stores,Own,2,Unemployed,1,0,1,1
No,10,Delay in paying,Vacation,754,< 100,4 - 7,4,Male,Co-applicant,2,Savings agreement/life insurance,23,Bank,Rent,1,Highly skilled,1,1,0,0
< 0,37,All paid,Radio/television,10063,Unknown/None,> 7,4,Male,Co-applicant,4,Unknown/None,61,Bank,For free,3,Skilled,1,0,0,0
< 0,20,Critical account,Retraining,14921,< 100,< 1,3,Male,No,1,Car or other,25,Stores,Rent,1,Unskilled,2,0,1,1
0 - 200,46,Delay in paying,Business,10988,100 - 500,1 - 4,1,Female,No,2,Car or other,24,Stores,For free,4,Highly skilled,1,1,1,1
> 200,62,Critical account,Repairs,11436,Unknown/None,< 1,1,Female,No,1,Savings agreement/life insurance,51,Stores,Rent,2,Highly skilled,1,0,0,1
> 200,54,Existing paid,Car (new),7023,Unknown/None,4 - 7,2,Male,No,2,Real estate,61,Bank,Own,1,Skilled,1,1,0,1
0 - 200,57,All paid,Furniture/equipment,4066,> 1000,Unemployed,3,Male,Guarantor,2,Car or other,70,Stores,For free,3,Highly skilled,1,0,0,1
